params,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,total_trades,profit_factor,rsi_period,oversold,overbought
"{'rsi_period': 10, 'oversold': 35, 'overbought': 80}",191.46412289049735,5.434235515035058,,71.91011235955057,89,1.9253798546439163,10,35,80
"{'rsi_period': 14, 'oversold': 35, 'overbought': 80}",165.19592396232073,7.740562091558224,,70.0,40,3.06773796662509,14,35,80
"{'rsi_period': 20, 'oversold': 35, 'overbought': 80}",163.21948933518914,10.51877494546163,,72.22222222222221,18,7.419652234480633,20,35,80
"{'rsi_period': 10, 'oversold': 30, 'overbought': 80}",126.55788279018292,4.764381473577061,,69.23076923076923,78,1.7127832103903953,10,30,80
"{'rsi_period': 14, 'oversold': 30, 'overbought': 80}",121.2600190257263,7.373589186394498,,75.0,36,2.7573285623749104,14,30,80
"{'rsi_period': 20, 'oversold': 30, 'overbought': 80}",111.44928691272698,8.473210652234416,,70.58823529411765,17,3.5574562935645693,20,30,80
"{'rsi_period': 10, 'oversold': 35, 'overbought': 70}",88.16142804739393,3.659455352385935,,68.52791878172589,197,1.3505424973539968,10,35,70
"{'rsi_period': 20, 'oversold': 20, 'overbought': 80}",87.41548654099431,13.050733302158614,,85.71428571428571,7,8.897232749292407,20,20,80
"{'rsi_period': 10, 'oversold': 30, 'overbought': 70}",64.97515811556462,3.5240190821765367,,71.7948717948718,156,1.33206795341816,10,30,70
"{'rsi_period': 10, 'oversold': 20, 'overbought': 80}",63.85105697203005,4.875691736385633,,64.58333333333334,48,1.836070679569609,10,20,80
"{'rsi_period': 14, 'oversold': 20, 'overbought': 80}",62.30746302534163,8.422893301905203,,70.58823529411765,17,2.7411504082795513,14,20,80
"{'rsi_period': 20, 'oversold': 20, 'overbought': 70}",61.59506756584749,12.815304025746485,,72.72727272727273,11,7.2258304869707715,20,20,70
"{'rsi_period': 20, 'oversold': 35, 'overbought': 70}",53.726598938636236,3.888343569787156,,65.45454545454545,55,1.5867422817992316,20,35,70
"{'rsi_period': 14, 'oversold': 35, 'overbought': 70}",51.79677278914642,3.428495903117935,,63.46153846153846,104,1.3201569608402035,14,35,70
"{'rsi_period': 14, 'oversold': 35, 'overbought': 65}",47.67704906648065,3.122531054069913,,69.01408450704226,142,1.2460197945433376,14,35,65
"{'rsi_period': 20, 'oversold': 35, 'overbought': 65}",41.29566067377602,3.586738787794718,,64.0,75,1.4131991081005506,20,35,65
"{'rsi_period': 20, 'oversold': 20, 'overbought': 65}",39.743543825269846,11.886498375612273,,72.72727272727273,11,5.192517243925098,20,20,65
"{'rsi_period': 14, 'oversold': 30, 'overbought': 65}",37.53851933576139,3.1257702757876498,,67.32673267326733,101,1.293778529494611,14,30,65
"{'rsi_period': 20, 'oversold': 30, 'overbought': 70}",35.88228960787559,4.048101811055844,,60.97560975609756,41,1.5411551412568045,20,30,70
"{'rsi_period': 14, 'oversold': 30, 'overbought': 70}",28.43827816987272,2.903812202279809,,60.0,80,1.2647458734195485,14,30,70
"{'rsi_period': 10, 'oversold': 20, 'overbought': 70}",13.285407838741067,2.720366358207101,,63.23529411764706,68,1.1523527367113067,10,20,70
"{'rsi_period': 14, 'oversold': 20, 'overbought': 65}",9.832593689575424,3.454435048860872,,71.42857142857143,28,1.2976119495237837,14,20,65
"{'rsi_period': 20, 'oversold': 30, 'overbought': 65}",9.68334823644249,2.373864945817529,,64.70588235294117,51,1.1278766850473205,20,30,65
"{'rsi_period': 14, 'oversold': 20, 'overbought': 70}",9.20466522326924,3.2942154042239964,,60.0,25,1.318773444163605,14,20,70
"{'rsi_period': 10, 'oversold': 35, 'overbought': 65}",8.366589671242982,2.2517775822234833,,65.27196652719665,239,1.0406236822375536,10,35,65
"{'rsi_period': 10, 'oversold': 30, 'overbought': 65}",4.307673748367779,2.053661060729796,,69.66292134831461,178,1.0261297146723218,10,30,65
"{'rsi_period': 10, 'oversold': 20, 'overbought': 65}",-7.640205706544948,1.334337707818552,,58.666666666666664,75,0.9058095661320197,10,20,65
