strategy_name,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_trade_duration_hours,params
Price_Channel,47,40.42553191489361,178.61456035702776,1.765756295359701,4.29050965212052,,253.04255319148936,{}
Volatility_Breakout,84,36.904761904761905,141.82138579411227,1.5342331697981804,3.049039579066073,,117.44047619047619,{}
RSI,80,60.0,28.43827816987272,1.2647458734195485,2.903812202279809,,115.45,"{'rsi_period': 14, 'oversold': 30, 'overbought': 70}"
EMA_Crossover,370,26.756756756756754,14.073483246315735,1.0341829485634744,1.8048294112119272,,31.55945945945946,"{'fast_ema': 12, 'slow_ema': 26}"
ADX_Trend,262,32.44274809160305,11.802355701925698,1.0316433336614443,1.7930837752198023,,38.545801526717554,{}
Trend_Momentum,101,23.762376237623762,-4.99591042506434,0.9504734694655724,1.4451609698516958,,26.405940594059405,"{'sma_period': 50, 'atr_period': 14}"
Multi_Indicator,94,42.5531914893617,-18.723211397613177,0.7283871670247942,0.8875138000955386,,16.27659574468085,"{'ema_fast': 12, 'ema_slow': 26, 'rsi_period': 14}"
Scalping,158,27.21518987341772,-19.549295923455148,0.866407506996189,1.1045748725850304,,15.044303797468354,{}
SMA_Crossover,439,28.018223234624145,-21.99356126561191,0.9470227965743326,1.533555500550408,,25.8246013667426,"{'fast_sma': 10, 'slow_sma': 30}"
Stochastic,290,25.17241379310345,-46.95584243033096,0.5599860286556799,1.380135648328135,,2.4413793103448276,"{'k_period': 14, 'oversold': 20, 'overbought': 80}"
MACD,816,31.495098039215684,-74.46325501625203,0.797177928514311,1.2473555384872363,,12.76593137254902,"{'fast': 12, 'slow': 26, 'signal_period': 9}"
Williams_R,511,46.96673189823875,-77.37624401481762,0.6218034254455009,0.23683366358761268,,19.921722113502934,{}
Momentum,998,25.250501002004004,-85.87967818448921,0.7344380734296632,1.0252386576510322,,11.152304609218437,{}
